,pair,lSymbol,rSymbol,lIndicator,rIndicator,symbolPicked,reward
150088,CA,C,A,False,False,C,1
150100,AC,A,C,True,True,A,10
150106,AC,A,C,False,True,A,10
150107,CA,C,A,True,True,C,1
150110,CA,C,A,True,False,C,1
150111,CA,C,A,True,False,C,1
150114,AC,A,C,False,False,A,0
150122,AC,A,C,False,True,A,0
150127,CA,C,A,True,True,C,1
150137,CA,C,A,True,True,C,1
150139,CA,C,A,True,False,C,1
150145,CA,C,A,False,True,C,0
150146,CA,C,A,False,False,C,1
150148,CA,C,A,True,True,C,1
150152,AC,A,C,False,False,A,0
150156,CA,C,A,True,True,C,1
150166,AC,A,C,True,True,A,10
150170,AC,A,C,True,False,A,10
150173,AC,A,C,True,True,A,10
150176,AC,A,C,False,False,A,0
150177,CA,C,A,True,False,C,1
150180,CA,C,A,False,True,C,0
150184,AC,A,C,True,False,A,10
150186,CA,C,A,False,True,C,0
150188,AC,A,C,True,True,A,10
150189,AC,A,C,False,True,A,0
150190,CA,C,A,True,True,C,1
150204,CA,C,A,False,False,C,1
150211,AC,A,C,False,False,A,0
150212,CA,C,A,True,True,C,1
150218,CA,C,A,True,True,C,1
150223,CA,C,A,True,False,C,1
150226,CA,C,A,False,True,C,0
150228,AC,A,C,True,True,A,10
150232,CA,C,A,True,True,C,1
150246,CA,C,A,False,True,C,0
150247,AC,A,C,True,False,A,10
150250,AC,A,C,False,True,A,0
150255,AC,A,C,False,True,A,0
150259,CA,C,A,True,True,C,1
150265,CA,C,A,True,True,C,1
150271,CA,C,A,True,True,C,1
150273,CA,C,A,True,True,C,1
150277,AC,A,C,True,True,A,10
150280,AC,A,C,False,True,A,0
150290,AC,A,C,True,False,A,10
150291,AC,A,C,True,True,A,10
150294,AC,A,C,True,True,A,10
150296,CA,C,A,True,True,C,1
150297,AC,A,C,False,True,A,0
150301,AC,A,C,True,False,A,10
150302,CA,C,A,True,False,C,1
150304,AC,A,C,True,True,A,10
150306,CA,C,A,False,True,C,0
150307,AC,A,C,False,True,A,0
150325,CA,C,A,True,True,C,1
150332,CA,C,A,True,False,C,1
150333,AC,A,C,False,True,A,0
150337,AC,A,C,True,True,A,10
150339,CA,C,A,True,True,C,1
150343,CA,C,A,False,True,C,1
150344,AC,A,C,False,True,A,10
150349,AC,A,C,True,True,A,10
150355,AC,A,C,True,False,A,10
150363,AC,A,C,True,True,A,10
150365,CA,C,A,True,True,C,0
150366,AC,A,C,True,False,A,10
150367,CA,C,A,True,False,C,1
150374,CA,C,A,False,True,C,0
150375,AC,A,C,True,True,A,10
150380,AC,A,C,True,False,A,10
150393,AC,A,C,False,True,A,0
150401,CA,C,A,True,True,C,1
150407,AC,A,C,True,True,A,10
150409,CA,C,A,False,True,C,0
150421,AC,A,C,True,False,A,10
150431,CA,C,A,False,True,C,0
150434,AC,A,C,True,True,A,10
150437,CA,C,A,True,False,C,1
150438,AC,A,C,True,True,A,10
150444,CA,C,A,True,True,C,1
150445,CA,C,A,False,False,C,0
150448,CA,C,A,True,True,C,1
150452,AC,A,C,True,False,A,10
150454,CA,C,A,True,True,C,1
150457,AC,A,C,True,True,A,10
150460,CA,C,A,True,True,C,1
150465,AC,A,C,True,False,A,10
150466,CA,C,A,False,False,C,1
150467,CA,C,A,True,True,C,1
150468,AC,A,C,False,True,A,0
150469,AC,A,C,False,True,A,0
150472,AC,A,C,True,True,A,10
150477,AC,A,C,False,False,A,0
150478,AC,A,C,True,False,A,10
150487,CA,C,A,True,True,C,1
150493,CA,C,A,True,True,C,1
150494,AC,A,C,True,True,A,10
150498,AC,A,C,True,True,A,10
150499,AC,A,C,True,True,A,10
150500,CA,C,A,False,False,C,0
150502,AC,A,C,True,True,A,10
150505,CA,C,A,True,False,C,1
150506,CA,C,A,True,True,C,1
150508,AC,A,C,True,True,A,10
