,pair,lSymbol,rSymbol,lIndicator,rIndicator,symbolPicked,reward
10305,DB,D,B,False,False,D,0
10308,BD,B,D,False,False,B,0
10312,BD,B,D,False,False,B,0
10323,DB,D,B,True,False,D,1
10324,DB,D,B,True,False,D,1
10328,BD,B,D,False,True,B,10
10330,DB,D,B,False,False,D,0
10338,DB,D,B,False,True,D,0
10339,DB,D,B,True,False,D,1
10344,BD,B,D,False,False,B,0
10345,DB,D,B,False,True,D,0
10347,DB,D,B,False,True,D,0
10350,BD,B,D,True,False,B,10
10354,BD,B,D,False,False,B,0
10359,BD,B,D,True,False,B,10
10360,DB,D,B,False,True,D,0
10362,DB,D,B,False,False,D,0
10365,DB,D,B,False,False,D,0
10367,BD,B,D,True,True,B,10
10371,BD,B,D,True,True,B,10
10379,BD,B,D,False,True,B,0
10382,DB,D,B,False,True,D,0
10387,BD,B,D,True,False,B,0
10388,BD,B,D,False,True,B,0
10389,DB,D,B,False,True,D,0
10390,DB,D,B,False,False,D,0
10391,BD,B,D,False,False,B,0
10398,DB,D,B,False,True,D,0
10415,DB,D,B,False,False,D,0
10417,BD,B,D,False,False,B,0
10426,BD,B,D,True,True,B,10
10429,BD,B,D,False,False,B,0
10438,BD,B,D,True,False,B,0
10439,DB,D,B,False,False,D,0
10440,BD,B,D,False,False,B,0
10442,BD,B,D,False,False,B,0
10449,DB,D,B,True,False,D,1
10454,BD,B,D,False,False,B,0
10459,DB,D,B,True,False,D,0
10462,DB,D,B,True,False,D,1
10463,DB,D,B,False,False,D,0
10465,DB,D,B,False,True,D,0
10468,BD,B,D,False,False,B,0
10470,BD,B,D,False,False,B,0
10472,BD,B,D,False,False,B,0
10476,BD,B,D,False,False,B,0
10486,BD,B,D,True,True,B,10
10489,DB,D,B,False,False,D,0
10496,BD,B,D,True,False,B,10
10498,DB,D,B,False,False,D,0
10500,DB,D,B,True,True,D,1
10501,DB,D,B,False,True,D,0
10508,DB,D,B,False,True,D,0
10509,DB,D,B,False,False,D,0
10517,BD,B,D,True,False,B,10
10519,DB,D,B,False,False,D,0
10525,BD,B,D,True,True,B,0
10528,DB,D,B,True,True,D,1
10536,DB,D,B,False,False,D,0
10538,DB,D,B,False,False,D,0
10539,BD,B,D,True,False,B,10
10554,BD,B,D,True,False,B,0
10558,DB,D,B,False,False,D,0
10580,BD,B,D,False,False,B,0
10585,BD,B,D,True,False,B,10
10588,BD,B,D,False,False,B,0
10589,BD,B,D,False,False,B,0
10601,BD,B,D,False,False,B,0
10602,DB,D,B,True,False,D,1
10607,BD,B,D,False,False,B,0
10610,BD,B,D,True,False,B,10
10616,BD,B,D,True,False,B,0
10619,DB,D,B,True,False,D,1
10621,DB,D,B,False,False,D,0
10624,BD,B,D,True,False,B,10
10625,BD,B,D,True,False,B,10
10632,BD,B,D,False,True,B,0
10633,DB,D,B,False,True,D,0
10637,BD,B,D,True,False,B,10
10643,BD,B,D,False,False,B,0
10644,DB,D,B,False,False,D,0
10646,BD,B,D,False,False,B,0
10651,DB,D,B,False,False,D,0
10652,BD,B,D,False,False,B,0
10660,DB,D,B,True,False,D,1
10662,BD,B,D,False,True,B,0
10665,BD,B,D,False,False,B,0
10671,BD,B,D,False,True,B,0
10673,DB,D,B,True,False,D,1
10674,DB,D,B,True,False,D,1
10682,BD,B,D,False,False,B,0
10685,DB,D,B,False,True,D,0
10686,DB,D,B,False,False,D,0
10691,BD,B,D,False,False,B,0
10693,DB,D,B,False,True,D,0
10695,BD,B,D,False,True,B,0
10698,DB,D,B,False,False,D,0
10699,DB,D,B,False,False,D,0
10700,DB,D,B,False,False,D,0
10701,DB,D,B,False,True,D,0
10702,DB,D,B,False,False,D,0
10703,BD,B,D,False,False,B,0
10705,BD,B,D,False,False,B,0
10706,DB,D,B,True,True,D,1
10711,DB,D,B,False,False,D,0
10721,BD,B,D,False,False,B,0
10727,DB,D,B,False,False,D,0
10734,DB,D,B,True,False,D,0
10742,BD,B,D,False,False,B,10
10744,BD,B,D,False,False,B,0
10746,BD,B,D,True,False,B,10
10752,BD,B,D,False,False,B,0
10764,DB,D,B,False,True,D,0
10768,BD,B,D,False,False,B,0
10773,BD,B,D,False,False,B,0
10776,BD,B,D,False,False,B,0
10777,BD,B,D,True,True,B,10
10786,DB,D,B,False,False,D,0
10790,DB,D,B,False,True,D,0
10794,BD,B,D,False,False,B,0
10796,DB,D,B,False,False,D,0
10800,BD,B,D,False,False,B,0
10805,BD,B,D,False,False,B,0
10816,DB,D,B,False,True,D,0
10817,DB,D,B,False,False,D,0
10818,DB,D,B,False,False,D,0
10820,BD,B,D,False,True,B,0
