,pair,lSymbol,rSymbol,lIndicator,rIndicator,symbolPicked
10305,EH,E,H,False,True,E
10306,HE,H,E,False,True,H
10307,HE,H,E,True,True,H
10309,EH,E,H,False,False,E
10313,HE,H,E,False,True,H
10314,EH,E,H,True,False,E
10316,HE,H,E,False,False,H
10336,EH,E,H,True,False,E
10337,HE,H,E,False,False,H
10339,HE,H,E,False,False,H
10345,EH,E,H,False,False,E
10349,EH,E,H,True,True,E
10351,HE,H,E,False,True,H
10356,HE,H,E,True,True,H
10357,EH,E,H,False,False,E
10371,EH,E,H,True,False,E
10375,HE,H,E,False,True,H
10377,HE,H,E,False,True,H
10379,HE,H,E,True,True,H
10385,EH,E,H,False,False,E
10390,EH,E,H,True,False,E
10395,EH,E,H,True,False,E
10397,EH,E,H,True,False,E
10401,EH,E,H,True,True,E
10406,EH,E,H,False,False,E
10417,HE,H,E,True,False,H
10418,HE,H,E,True,False,H
10420,HE,H,E,False,True,H
10426,HE,H,E,True,True,H
10434,HE,H,E,False,True,H
10435,HE,H,E,True,True,H
10436,EH,E,H,True,False,E
10444,HE,H,E,False,True,H
10446,EH,E,H,True,False,E
10451,HE,H,E,False,True,H
10455,HE,H,E,False,True,H
10456,HE,H,E,True,True,H
10459,EH,E,H,True,False,E
10464,EH,E,H,True,True,E
10469,EH,E,H,True,False,E
10472,HE,H,E,True,False,H
10476,HE,H,E,False,True,H
10477,EH,E,H,True,True,E
10480,HE,H,E,False,False,H
10496,HE,H,E,False,True,H
10499,HE,H,E,False,True,H
10502,HE,H,E,False,True,H
10505,HE,H,E,True,False,H
10512,EH,E,H,True,False,E
10514,EH,E,H,True,False,E
10520,HE,H,E,False,True,H
10521,EH,E,H,True,True,E
10524,HE,H,E,True,True,H
10529,EH,E,H,False,True,E
10533,HE,H,E,False,True,H
10538,EH,E,H,False,True,E
10563,EH,E,H,False,False,E
10576,HE,H,E,True,False,H
10586,EH,E,H,False,True,E
10587,HE,H,E,True,False,H
10594,HE,H,E,False,True,H
10599,HE,H,E,False,False,H
10601,EH,E,H,True,True,E
10607,HE,H,E,False,True,H
10615,EH,E,H,True,True,E
10616,HE,H,E,True,True,H
10619,EH,E,H,False,False,E
10620,EH,E,H,True,True,E
10623,EH,E,H,True,True,E
10635,EH,E,H,False,False,E
10638,HE,H,E,False,True,H
10640,HE,H,E,False,True,H
10642,HE,H,E,True,True,H
10646,HE,H,E,False,False,H
10649,EH,E,H,True,False,E
10655,EH,E,H,True,False,E
10663,EH,E,H,True,False,E
10668,HE,H,E,True,False,H
10671,HE,H,E,False,False,H
10674,HE,H,E,False,True,H
10692,HE,H,E,True,True,H
10696,HE,H,E,False,True,H
10704,HE,H,E,False,True,H
10708,EH,E,H,True,False,E
10709,HE,H,E,False,True,H
10720,EH,E,H,True,True,E
10722,EH,E,H,True,True,E
10724,EH,E,H,True,True,E
10727,EH,E,H,True,False,E
10728,HE,H,E,False,True,H
10730,EH,E,H,True,False,E
10733,HE,H,E,False,False,H
10736,HE,H,E,False,True,H
10742,HE,H,E,False,True,H
10755,EH,E,H,True,False,E
10760,EH,E,H,True,True,E
10764,HE,H,E,True,True,H
10773,EH,E,H,True,True,E
10783,HE,H,E,False,True,H
10792,HE,H,E,True,True,H
10793,EH,E,H,True,False,E
10795,EH,E,H,True,False,E
10797,HE,H,E,False,True,H
10800,EH,E,H,True,False,E
10803,HE,H,E,False,True,H
10804,EH,E,H,False,False,E
10806,EH,E,H,True,False,E
10811,HE,H,E,False,True,H
10819,HE,H,E,False,True,H
10820,EH,E,H,True,False,E
10823,HE,H,E,False,True,H
