,pair,lSymbol,rSymbol,lIndicator,rIndicator,symbolPicked,reward
10301,GF,G,F,False,False,G,0
10307,GF,G,F,True,False,G,1
10310,FG,F,G,False,True,G,1
10311,GF,G,F,True,True,G,1
10313,GF,G,F,True,False,G,1
10318,GF,G,F,True,False,G,1
10319,FG,F,G,True,True,G,1
10320,GF,G,F,True,False,G,1
10321,FG,F,G,False,False,G,1
10326,GF,G,F,False,False,G,0
10333,GF,G,F,True,True,G,1
10335,FG,F,G,False,True,G,1
10336,FG,F,G,True,True,G,1
10341,FG,F,G,False,False,G,0
10342,GF,G,F,True,False,G,1
10353,GF,G,F,True,True,G,1
10355,GF,G,F,True,False,G,1
10357,GF,G,F,True,False,G,1
10358,FG,F,G,True,False,G,1
10361,GF,G,F,True,False,G,1
10373,GF,G,F,False,False,G,0
10374,FG,F,G,False,True,G,1
10376,GF,G,F,True,False,G,1
10378,GF,G,F,True,True,G,1
10394,FG,F,G,True,True,G,1
10396,GF,G,F,False,False,G,0
10404,FG,F,G,False,True,G,1
10406,FG,F,G,False,True,G,1
10408,GF,G,F,True,True,G,1
10409,FG,F,G,True,True,G,0
10410,FG,F,G,False,False,G,0
10416,GF,G,F,True,True,G,1
10420,GF,G,F,True,False,G,1
10423,GF,G,F,False,False,G,0
10424,GF,G,F,True,False,G,1
10427,FG,F,G,False,True,G,1
10435,FG,F,G,False,False,G,0
10436,FG,F,G,False,True,G,1
10443,GF,G,F,True,False,G,1
10446,FG,F,G,True,True,G,1
10447,FG,F,G,False,True,G,1
10457,FG,F,G,False,False,G,0
10473,GF,G,F,True,False,G,1
10475,FG,F,G,False,False,G,0
10479,FG,F,G,True,True,G,1
10487,GF,G,F,True,False,G,1
10490,FG,F,G,False,True,G,1
10491,GF,G,F,True,True,G,1
10493,GF,G,F,True,False,G,1
10495,GF,G,F,True,False,G,1
10502,FG,F,G,False,True,G,1
10513,GF,G,F,True,False,G,1
10516,FG,F,G,False,True,G,1
10520,GF,G,F,True,False,G,1
10521,GF,G,F,True,False,G,1
10522,FG,F,G,False,False,G,0
10526,FG,F,G,False,True,G,0
10527,GF,G,F,True,False,G,1
10531,FG,F,G,False,True,G,1
10535,FG,F,G,True,True,G,1
10541,FG,F,G,False,False,G,0
10543,GF,G,F,True,True,G,1
10544,FG,F,G,False,True,G,1
10548,GF,G,F,True,True,G,1
10550,FG,F,G,False,True,G,1
10553,GF,G,F,True,False,G,1
10555,FG,F,G,False,False,G,0
10577,GF,G,F,False,False,G,0
10578,GF,G,F,True,False,G,1
10587,GF,G,F,False,True,G,0
10590,GF,G,F,True,False,G,1
10592,GF,G,F,True,True,G,1
